#{"t_start": 1773366505.005306, "env_id": "Humanoid-v4"}
r,l,t
208.888278,40,33.8013
203.094789,40,34.478079
350.153307,64,35.527751
372.509149,69,36.632272
282.825873,52,37.430311
325.18254,59,38.245751
275.189006,50,38.9533
282.061025,52,39.687853
386.016129,70,40.804345
285.879605,52,41.624159
275.221061,50,42.450358
277.108944,51,43.265807
305.030336,55,44.15822
268.478277,49,45.016496
297.041451,54,45.846027
276.379386,51,46.677309
285.235768,52,47.599943
290.574835,53,48.819166
302.501062,55,50.279458
274.715411,50,51.53635
310.798012,57,52.673625
367.362105,69,54.164808
283.866853,52,55.045965
284.623065,52,55.907451
347.964432,64,56.80106
369.133819,67,57.900332
322.93352,60,58.753549
329.173735,60,59.594349
279.215274,51,60.329461
333.118596,73,61.579651
349.511477,66,62.736289
345.106751,71,63.921639
349.225701,65,65.081581
297.186125,59,66.0769
248.149699,48,66.828228
135.289227,29,67.259656
130.121045,27,67.712603
132.13636,28,68.16017
108.938101,23,68.491513
303.938001,59,69.372121
476.432353,93,70.660189
278.711775,56,71.443963
301.133333,64,72.356353
145.308122,30,72.784837
194.759919,41,73.371058
312.354293,70,74.380687
166.679779,34,74.964892
376.570785,73,76.080552
181.657184,38,76.639591
173.258349,35,77.161809
234.330242,46,77.825954
447.481568,83,78.996979
125.2547,27,79.369757
329.127644,63,80.312134
383.317326,74,81.443044
292.508572,59,82.292029
334.277837,66,83.234707
308.84862,68,84.216243
349.031701,76,85.314247
407.17877,81,86.628189
389.480818,76,87.894267
443.092032,94,89.454125
533.11525,117,91.313893
316.294807,69,92.287635
328.36625,62,93.152849
298.287441,55,93.926414
301.706393,55,94.705136
332.142785,60,95.596591
323.696495,62,96.472179
295.221413,56,97.273152
323.043177,59,98.141353
392.850498,74,99.188771
295.107571,54,99.975656
319.045411,58,100.831322
379.954197,70,101.852232
316.233148,60,102.698727
347.34645,63,103.593288
288.474746,52,104.30271
339.307166,65,105.231281
299.397743,63,106.107685
323.727911,58,106.940151
355.964673,66,107.873031
307.079929,58,108.717817
335.171127,62,109.598245
288.582108,53,110.339764
308.948856,56,111.149813
342.533306,63,112.035397
366.149212,70,113.005833
261.870205,48,113.705695
286.162486,52,114.493615
271.08573,50,115.241943
316.400326,57,116.084117
336.643855,62,116.961296
339.062077,63,117.848256
345.374759,62,118.737331
319.714065,58,119.551629
335.256068,63,120.43021
352.847181,66,121.403426
357.348494,65,122.3946
371.669338,68,123.370284
332.528518,63,124.294066
